URL to be reported,Category of URL,Report reason,Additional details
https://library.tiktok.com/ads/detail/?ad_id=1856757922338818,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Χρυσάνθου Λοΐζος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-10; last shown: 2026-02-11 · Advertiser handle: @loizos_chrysanthou · Detected via TikTok Research API ad_id=1856757922338818"
https://library.tiktok.com/ads/detail/?ad_id=1861800731896833,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Χρυσάνθου Λοΐζος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-04-07; last shown: 2026-04-08 · Advertiser handle: @loizos_chrysanthou · Detected via TikTok Research API ad_id=1861800731896833"
https://library.tiktok.com/ads/detail/?ad_id=1861800621763586,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Χρυσάνθου Λοΐζος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-04-07; last shown: 2026-04-08 · Advertiser handle: @loizos_chrysanthou · Detected via TikTok Research API ad_id=1861800621763586"
https://library.tiktok.com/ads/detail/?ad_id=1865091047955841,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Χρυσάνθου Λοΐζος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-13; last shown: 2026-05-14 · Advertiser handle: @loizos_chrysanthou · Detected via TikTok Research API ad_id=1865091047955841"
https://library.tiktok.com/ads/detail/?ad_id=1865179254583425,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Χρυσάνθου Λοΐζος (ΑΜΔΗ, Λευκωσία) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-05-14; last shown: 2026-05-15 · Advertiser handle: @loizos_chrysanthou · Detected via TikTok Research API ad_id=1865179254583425"
https://library.tiktok.com/ads/detail/?ad_id=1844255012175873,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Καλοπαίδης Μιχάλης (ΒΟΛΤ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-09-25; last shown: 2025-09-26 · Advertiser handle: @michalis.kalopaidis · Detected via TikTok Research API ad_id=1844255012175873"
https://library.tiktok.com/ads/detail/?ad_id=1844257674067970,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Καλοπαίδης Μιχάλης (ΒΟΛΤ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-09-25; last shown: 2025-09-28 · Advertiser handle: @michalis.kalopaidis · Detected via TikTok Research API ad_id=1844257674067970"
https://library.tiktok.com/ads/detail/?ad_id=1844257674067986,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Καλοπαίδης Μιχάλης (ΒΟΛΤ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-09-25; last shown: 2025-09-28 · Advertiser handle: @michalis.kalopaidis · Detected via TikTok Research API ad_id=1844257674067986"
https://library.tiktok.com/ads/detail/?ad_id=1845027180553218,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Καλοπαίδης Μιχάλης (ΒΟΛΤ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2025-10-04; last shown: 2025-10-06 · Advertiser handle: @michalis.kalopaidis · Detected via TikTok Research API ad_id=1845027180553218"
https://library.tiktok.com/ads/detail/?ad_id=1857123058716673,Misleading information,Political advertising prohibited by TikTok policy,"Candidate: Καλοπαίδης Μιχάλης (ΒΟΛΤ, Λάρνακα) · Cyprus 2026 parliamentary elections — paid political advertising · (TikTok prohibits political advertising globally per Community Guidelines) · Ad first shown: 2026-02-14; last shown: 2026-02-15 · Advertiser handle: @michalis.kalopaidis · Detected via TikTok Research API ad_id=1857123058716673"
